1056120;Opaski monitorujące aktywność;599;Garmin Fitness Vivofit 2 HRM (biały);http://f00.esfr.pl/foto/6/9671893232/c75008fa6522071cca44ca7e854d8a2/garmin-fitness-vivofit-2-hrm-bialy,9671893232_7.jpg;4200;Pomiar:kroki, dystans, kalorie, jakość snu:0 | Wyświetlacz:tak:1 | Kolor:biały:2 | ;
1056121;Smartwatch;499;Garmin Vivoactive (czarny);http://f00.esfr.pl/foto/9/9685103337/56172e7ef40ed94e1e158c8099e4c68f/garmin-vivoactive-czarny,9685103337_7.jpg;4582;Kompatybilna platforma:Apple iOS, Google Android, Microsoft Windows:0 | Komunikacja:Bluetooth 4.0:1 | Wykonanie koperty:tworzywo sztuczne:2 | ;
1056122;Smartwatch;599;Garmin Vivoactive (biały);http://f01.esfr.pl/foto/3/9685413552/5725bf7afd3f35e108d13e8534e885b/garmin-vivoactive-bialy,9685413552_7.jpg;6558;Kompatybilna platforma:Apple iOS, Google Android, Microsoft Windows:0 | Komunikacja:Bluetooth 4.0:1 | Wykonanie koperty:tworzywo sztuczne:2 | ;
1056125;Radioodbiorniki;199.99;Lenco PDR-03;http://f01.esfr.pl/foto/2/9676874357/203c89d795a9cc3f762af589db52e5a2/lenco-pdr-03,9676874357_7.jpg;13821;Radio:analogowe z pamięcią, cyfrowe DAB+:0 | Zakresy fal radiowych:FM (UKF), DAB+:1 | Dźwięk:mono:2 | Zasilanie:sieciowe, bateryjne:3 | Kolor obudowy:czarny:4 | ;
1056126;Systemy multiroom;619;Lenco PlayConnect;http://f00.esfr.pl/foto/8/9672068952/30ecc616f0bc3f9e629194bb400becc3/lenco-playconnect,9672068952_7.jpg;23605;Radio:internetowe:0 | Zgodność z iPod/iPhone:tak:1 | Wi-Fi:tak:2 | Bluetooth:nie:3 | ;
1056127;Systemy multiroom;669;Lenco Playlink-4;http://f01.esfr.pl/foto/4/9671979202/95497193e7cfc07872835b4350907786/lenco-playlink-4,9671979202_7.jpg;23504;Radio:internetowe:0 | Zgodność z iPod/iPhone:tak:1 | Wi-Fi:tak:2 | Bluetooth:tak:3 | ;
1056128;Systemy multiroom;769;Lenco Playlink-4 + bateria PL4BAT;http://f00.esfr.pl/foto/4/9672083547/95497193e7cfc07872835b4350907786/lenco-playlink-4-bateria,9672083547_7.jpg;18987;Radio:internetowe:0 | Zgodność z iPod/iPhone:tak:1 | Wi-Fi:tak:2 | Bluetooth:tak:3 | ;
1056129;Systemy multiroom;1319;Lenco Playlink-6;http://f00.esfr.pl/foto/7/9672004812/95497193e7cfc07872835b4350907786/lenco-playlink-6,9672004812_7.jpg;985;Radio:internetowe:0 | Zgodność z iPod/iPhone:tak:1 | Wi-Fi:tak:2 | Bluetooth:tak:3 | ;
1056130;Akumulatory;199;Lenco PL4BAT;http://f01.esfr.pl/foto/8/9678425857/5fe3b640c3f9985373ef57985d087d5f/lenco-pl4bat,9678425857_7.jpg;31368;Typ akumulatora:akumulator dedykowany:0 | Rodzaj:Li-Ion:1 | Pojemność:2200 mAh:2 | Napięcie wyjściowe:10,8 V:3 | W komplecie:1 akumulator:4 | ;
1056131;Słuchawki;749;Bang & Olufsen Earset 3i (biały);http://f01.esfr.pl/foto/2/9671891662/9d0e9852d6eb7ee7f2734044d864d95e/bang-olufsen-earset-3i-bialy,9671891662_7.jpg;108966;Typ słuchawek:douszne:0 | Pasmo przenoszenia:50 - 20000 Hz:1 | Dynamika (SPL):brak danych:2 | Długość przewodu:1,2 m:3 | ;
1056138;Słuchawki;899;Bang & Olufsen BeoPlay H2 Carbon Blue;http://f00.esfr.pl/foto/1/9671754487/972884827a26bc4e4c4595f1b5bc8772/bang-olufsen-beoplay-h2-carbon-blue,9671754487_7.jpg;108455;Typ słuchawek:nauszne:0 | Dynamika (SPL):115 dB:1 | Długość przewodu:brak danych:2 | ;
1056141;Słuchawki;899;Bang & Olufsen BeoPlay H2 Deep Red;http://f00.esfr.pl/foto/8/9671781417/1a8ea15765ede26a205833bcc51143c5/bang-olufsen-beoplay-h2-deep-red,9671781417_7.jpg;108540;Typ słuchawek:nauszne:0 | Dynamika (SPL):brak danych:1 | Długość przewodu:brak danych:2 | ;
1056149;Słuchawki;2019;Bang & Olufsen BeoPlay H8 Gray Hazel;http://f01.esfr.pl/foto/3/9671888367/2770bf7a5bcfff7af851767556518cbc/bang-olufsen-beoplay-h8-gray-hazel,9671888367_7.jpg;108541;Typ słuchawek:nauszne - zamknięte:0 | Pasmo przenoszenia:20 - 22000 Hz:1 | Dynamika (SPL):brak danych:2 | Transmisja bezprzewodowa:bluetooth:3 | Długość przewodu:1,2 m:4 | ;
1056151;Kolumny audio;699;Kruger & Matz Journey KM0501;http://f00.esfr.pl/foto/9/9676859862/fc5c3742810bae38732a80d6b73baba2/kruger-matz-journey-km0501,9676859862_7.jpg;4771;Zakres częstotliwości:50 Hz - 20 kHz:0 | Impedancja nominalna:4 Ω:1 | Konstrukcja:trójdrożne:2 | Moc muzyczna:100 W:3 | ;
1056156;Kolumny audio;2199;Kruger & Matz Destiny KM0505;http://f01.esfr.pl/foto/2/9676858312/7c884b8389d2921a781ad3fe548c83b7/kruger-matz-destiny-km0505,9676858312_7.jpg;4763;Zakres częstotliwości:38 Hz - 20 kHz:0 | Impedancja nominalna:4 Ω:1 | Konstrukcja:czterogłośnikowe, trójdrożne:2 | Moc muzyczna:120 W:3 | ;
1056157;Oprogramowanie;49.99;McAfee Internet Security;http://f00.esfr.pl/foto/8/9819786127/9d081f6e73b9500f2ab3d40446671d29/mcafee-internet-security,9819786127_7.jpg;11076;Typ oprogramowania:antywirusowe:0 | Kompatybilne systemy operacyjne:Windows:1 | Wersja językowa:polska:2 | Liczba stanowisk:1:3 | ;
1056158;Oprogramowanie;29.99;McAfee Mobile Security;http://f00.esfr.pl/foto/7/9820060557/f2a63f9be04a259954cc738130f92ca6/mcafee-mobile-security,9820060557_7.jpg;5864;Typ oprogramowania:antywirusowe:0 | Kompatybilne systemy operacyjne:Android:1 | Wersja językowa:polska:2 | Liczba stanowisk:1:3 | ;
1056159;Oprogramowanie;149.99;McAfee LiveSafe 12 mc;http://f00.esfr.pl/foto/6/9819866827/f7c1cb3d599078654dea4e01ce34c184/mcafee-livesafe,9819866827_7.jpg;984;Typ oprogramowania:antywirusowe:0 | Kompatybilne systemy operacyjne:Windows, Android, iOS:1 | Wersja językowa:polska:2 | Liczba stanowisk:nieograniczona:3 | ;
1056178;Aparaty z wymienną optyką;2999.00;Fujifilm X-T10 + XC16-50mm OIS II (czarny);http://f00.esfr.pl/foto/6/9615816752/53472a09f1d8c5bfd8991b7005d1aa2d/fujifilm-x-t10-xc16-50mm-ois-ii-czarny-,9615816752_7.jpg;9121;Rozdzielczość:16,3 Mpix:0 | Rodzaj przetwornika:23,6 mm x 15,6 mm (APS-C) X-Trans CMOS II:1 | Obiektyw w zestawie:XC16-50 mm f/3,5-5,6 OIS II:2 | Ogniskowa (dla 35 mm):24 - 76 mm:3 | Kod producenta:16470697:4 | ;
1056179;Aparaty z wymienną optyką;3449;Fujifilm X-T10 + XC16-50mm OIS II (czarno - srebrny);http://f00.esfr.pl/foto/9/9615528777/e16bb7e0d6f2276914755ad2240b2298/fujifilm-x-t10-xc-16-50mm-ois-ii-czarno-srebrny-,9615528777_7.jpg;508;Rozdzielczość:16,3 Mpix:0 | Rodzaj przetwornika:CMOS II  X-Trans 23,6 mm x 15,6 mm:1 | Obiektyw w zestawie:XC16-50 mm f/3,5-5,6 OIS II:2 | Ogniskowa (dla 35 mm):24 - 76 mm:3 | Kod producenta:16471263:4 | ;
